Quantity,Manufacturer Part Number,Digi-Key Part Number,Manufacturer,Description,Packaging,Unit Price,Extended Price,Quantity Available,Mfg Std Lead Time
1,MFR-25FBF52-1K5,1.50KXBK-ND,Yageo,RES 1.5K OHM 1/4W 1% AXIAL,Bulk,0.1,$0.10,47465,20 Weeks
3,MFR-25FBF52-100R,100XBK-ND,Yageo,RES 100 OHM 1/4W 1% AXIAL,Bulk,0.1,$0.30,33950,20 Weeks
50,A104K15X7RF5TAA,1109PHCT-ND,Vishay Beyschlag/Draloric/BC Components,CAP CER 0.1UF 50V X7R AXIAL,Cut Tape (CT),0.1184,$5.92,33537,15 Weeks
3,243-20-1-03,1175-1479-ND,CNC Tech,CONN IC DIP SOCKET 20POS TIN,Tube,0.41,$1.23,7573,18 Weeks
2,243-24-1-06,1175-2551-ND,CNC Tech,CONN IC DIP SOCKET 24POS TIN,Tube,0.44,$0.88,1857,18 Weeks
1,16YXJ4700M16X25,1189-1145-ND,Rubycon,CAP ALUM 4700UF 20% 16V RADIAL,Bulk,1.2,$1.20,5742,20 Weeks
4,2743007111,1934-1364-ND,Fair-Rite Products Corp.,FERRITE BEAD AXIAL 1LN,Bulk,0.19,$0.76,13314,16 Weeks
1,CF1/4CT52R510J,2019-CF1/4CT52R510JCT-ND,"KOA Speer Electronics, Inc.",RES 51 OHM 5% 1/4W AXIAL,Cut Tape (CT),0.1,$0.10,8304,11 Weeks
25,1N4002,2368-1N4002-ND,"NTE Electronics, Inc",R-SI 100V 1A,Bag,0.09,$2.25,28892,1 Weeks
25,1N5401,2368-1N5401-ND,"NTE Electronics, Inc",R-100 PRV 3A,Bag,0.126,$3.15,4842,1 Weeks
5,2N3055,2368-2N3055-ND,"NTE Electronics, Inc",T-NPN SI- AF PO,Bag,1.97,$9.85,1189,1 Weeks
25,2N3904,2368-2N3904-ND,"NTE Electronics, Inc",T-NPN SI-GEN PUR AMP  SW,Bag,0.108,$2.70,2683,1 Weeks
3,NTE109,2368-NTE109-ND,"NTE Electronics, Inc",D-GE-GEN PURP 75V,Bag,1.64,$4.92,1600,1 Weeks
3,NTE955M,2368-NTE955M-ND,"NTE Electronics, Inc",IC-TIMER/OSCILLATOR 8-LEAD DIP,Bag,1.18,$3.54,594,1 Weeks
1,GKG50015,2447-GKG50015-ND,EW Electronics,CAP TRIMMER 10-50PF 100V TH,Bulk,0.77,$0.77,3145,6 Weeks
1,J0971CS5VDC.45,2449-J0971CS5VDC.45-ND,CIT Relay and Switch,RELAY UL GEN PURP SPDT 5VDC,Tray,1.07,$1.07,1106,14 Weeks
1,SN74LS02N,296-1627-5-ND,Texas Instruments,IC GATE NOR 4CH 2-INP 14DIP,Tube,0.74,$0.74,8700,6 Weeks
1,SN74LS138N,296-1639-5-ND,Texas Instruments,IC DECODER/DEMUX 1X3:8 16DIP,Tube,0.96,$0.96,2605,6 Weeks
1,SN74LS244N,296-1653-5-ND,Texas Instruments,IC BUF NON-INVERT 5.25V 20DIP,Tube,1.03,$1.03,3182,12 Weeks
1,SN74LS273N,296-1657-5-ND,Texas Instruments,IC FF D-TYPE SNGL 8BIT 20DIP,Tube,0.91,$0.91,2462,12 Weeks
3,1211,36-1211-ND,Keystone Electronics,CONN QC TAB 0.110 SOLDER,Bulk,0.19,$0.57,112042,6 Weeks
1,C315C102K1R5TA7301,399-13913-1-ND,KEMET,CAP CER 1000PF 100V X7R RADIAL,Cut Tape (CT),$0.25,$0.25, , 
1,F2UEE,401-1223-ND,C&K,SWITCH PUSH DPDT 0.5A 125V,Bulk,2.01,$2.01,2629,12 Weeks
